Date,Currency,Exchange
2015-08-05,CAD,1.2103
2015-08-05,AUD,1.2638
2015-08-05,EUR,0.8912
2015-08-05,GBP,0.6488
2015-09-05,USD,1.0
2015-09-05,CAD,1.2103
2015-09-05,AUD,1.2638
2015-09-05,EUR,0.8912
2015-09-05,GBP,0.6488
2015-10-05,USD,1.0
2015-10-05,CAD,1.2103
2015-10-05,AUD,1.2638
2015-10-05,EUR,0.8912
2015-10-05,GBP,0.6488
2015-11-05,USD,1.0
2015-11-05,CAD,1.2114
2015-11-05,AUD,1.267
2015-11-05,EUR,0.8975
2015-11-05,GBP,0.6458
2015-12-05,USD,1.0
2015-12-05,CAD,1.204
2015-12-05,AUD,1.2519
2015-12-05,EUR,0.8898
2015-12-05,GBP,0.6374
2015-01-01,USD,1.0
2015-01-01,CAD,1.1974
2015-01-01,AUD,1.2428
2015-01-01,EUR,0.8912
2015-01-01,GBP,0.6393
2015-01-01,USD,1.0
2015-01-01,CAD,1.1949
2015-01-01,AUD,1.2336
2015-01-01,EUR,0.8757
2015-01-01,GBP,0.6332
2015-01-01,USD,1.0
2015-01-01,CAD,1.2037
2015-01-01,AUD,1.2499
2015-01-01,EUR,0.8828
2015-01-01,GBP,0.6366
2015-01-01,USD,1.0
2015-01-01,CAD,1.2037
2015-01-01,AUD,1.2499
2015-01-01,EUR,0.8828
2015-01-01,GBP,0.6366
2015-01-01,USD,1.0
2015-01-01,CAD,1.2037
2015-01-01,AUD,1.2499
2015-01-01,EUR,0.8828
2015-01-01,GBP,0.6366
2015-01-01,USD,1.0
2015-01-01,CAD,1.2058
2015-01-01,AUD,1.2493
2015-01-01,EUR,0.878
2015-01-01,GBP,0.6383
2015-01-01,USD,1.0
2015-01-01,CAD,1.2181
2015-01-01,AUD,1.2547
2015-01-01,EUR,0.8945
2015-01-01,GBP,0.6457
2015-01-01,USD,1.0
2015-01-01,CAD,1.2213
2015-01-01,AUD,1.2655
2015-01-01,EUR,0.8994
2015-01-01,GBP,0.6437
2015-01-01,USD,1.0
2015-01-01,CAD,1.2216
2015-01-01,AUD,1.2676
2015-01-01,EUR,0.8982
2015-01-01,GBP,0.6377
2015-01-01,USD,1.0
2015-01-01,CAD,1.22
2015-01-01,AUD,1.2686
2015-01-01,EUR,0.8957
2015-01-01,GBP,0.6394
2015-01-01,USD,1.0
2015-01-01,CAD,1.22
2015-01-01,AUD,1.2686
2015-01-01,EUR,0.8957
2015-01-01,GBP,0.6394
2015-01-01,USD,1.0
2015-01-01,CAD,1.22
2015-01-01,AUD,1.2686
2015-01-01,EUR,0.8957
2015-01-01,GBP,0.6394
2015-01-01,USD,1.0
2015-01-01,CAD,1.2294
2015-01-01,AUD,1.2774
2015-01-01,EUR,0.9109
2015-01-01,GBP,0.6467
2015-01-01,USD,1.0
2015-01-01,CAD,1.2374
2015-01-01,AUD,1.2832
2015-01-01,EUR,0.9152
2015-01-01,GBP,0.6495
2015-01-01,USD,1.0
2015-01-01,CAD,1.2456
2015-01-01,AUD,1.297
2015-01-01,EUR,0.9206
2015-01-01,GBP,0.6508
2015-01-01,USD,1.0
2015-01-01,CAD,1.2476
2015-01-01,AUD,1.3094
2015-01-01,EUR,0.9178
2015-01-01,GBP,0.6538
2015-01-01,USD,1.0
2015-01-01,CAD,1.2443
2015-01-01,AUD,1.307
2015-01-01,EUR,0.9116
2015-01-01,GBP,0.6554
2015-01-01,USD,1.0
2015-01-01,CAD,1.2443
2015-01-01,AUD,1.307
2015-01-01,EUR,0.9116
2015-01-01,GBP,0.6554
2015-01-01,USD,1.0
2015-01-01,CAD,1.2443
2015-01-01,AUD,1.307
2015-01-01,EUR,0.9116
2015-01-01,GBP,0.6554
2015-01-06,USD,1.0
2015-01-06,CAD,1.2494
2015-01-06,AUD,1.3104
2015-01-06,EUR,0.9137
2015-01-06,GBP,0.6572
2015-02-06,USD,1.0
2015-02-06,CAD,1.2498
2015-02-06,AUD,1.3004
2015-02-06,EUR,0.9067
2015-02-06,GBP,0.6567
2015-03-06,USD,1.0
2015-03-06,CAD,1.2445
2015-03-06,AUD,1.2862
2015-03-06,EUR,0.8981
2015-03-06,GBP,0.6534
2015-04-06,USD,1.0
2015-04-06,CAD,1.2449
2015-04-06,AUD,1.2917
2015-04-06,EUR,0.8836
2015-04-06,GBP,0.6498
2015-05-06,USD,1.0
2015-05-06,CAD,1.25
2015-05-06,AUD,1.2956
2015-05-06,EUR,0.8914
2015-05-06,GBP,0.6523
2015-06-06,USD,1.0
2015-06-06,CAD,1.25
2015-06-06,AUD,1.2956
2015-06-06,EUR,0.8914
2015-06-06,GBP,0.6523
2015-07-06,USD,1.0
2015-07-06,CAD,1.25
2015-07-06,AUD,1.2956
2015-07-06,EUR,0.8914
2015-07-06,GBP,0.6523
2015-08-06,USD,1.0
2015-08-06,CAD,1.2434
2015-08-06,AUD,1.3094
2015-08-06,EUR,0.8959
2015-08-06,GBP,0.6556
2015-09-06,USD,1.0
2015-09-06,CAD,1.2347
2015-09-06,AUD,1.2984
2015-09-06,EUR,0.889
2015-09-06,GBP,0.6537
2015-10-06,USD,1.0
2015-10-06,CAD,1.2236
2015-10-06,AUD,1.2919
2015-10-06,EUR,0.8866
2015-10-06,GBP,0.6458
2015-11-06,USD,1.0
2015-11-06,CAD,1.2321
2015-11-06,AUD,1.2939
2015-11-06,EUR,0.8903
2015-11-06,GBP,0.6469
2015-12-06,USD,1.0
2015-12-06,CAD,1.2303
2015-12-06,AUD,1.2977
2015-12-06,EUR,0.8913
2015-12-06,GBP,0.6457
2015-01-01,USD,1.0
2015-01-01,CAD,1.2303
2015-01-01,AUD,1.2977
2015-01-01,EUR,0.8913
2015-01-01,GBP,0.6457
2015-01-01,USD,1.0
2015-01-01,CAD,1.2303
2015-01-01,AUD,1.2977
2015-01-01,EUR,0.8913
2015-01-01,GBP,0.6457
2015-01-01,USD,1.0
2015-01-01,CAD,1.2342
2015-01-01,AUD,1.2895
2015-01-01,EUR,0.8914
2015-01-01,GBP,0.6449
2015-01-01,USD,1.0
2015-01-01,CAD,1.2343
2015-01-01,AUD,1.2913
2015-01-01,EUR,0.8917
2015-01-01,GBP,0.6404
2015-01-01,USD,1.0
2015-01-01,CAD,1.2312
2015-01-01,AUD,1.3028
2015-01-01,EUR,0.8866
2015-01-01,GBP,0.6357
2015-01-01,USD,1.0
2015-01-01,CAD,1.216
2015-01-01,AUD,1.2776
2015-01-01,EUR,0.8769
2015-01-01,GBP,0.6285
2015-01-01,USD,1.0
2015-01-01,CAD,1.2271
2015-01-01,AUD,1.2914
2015-01-01,EUR,0.885
2015-01-01,GBP,0.6314
2015-01-01,USD,1.0
2015-01-01,CAD,1.2271
2015-01-01,AUD,1.2914
2015-01-01,EUR,0.885
2015-01-01,GBP,0.6314
2015-01-01,USD,1.0
2015-01-01,CAD,1.2271
2015-01-01,AUD,1.2914
2015-01-01,EUR,0.885
2015-01-01,GBP,0.6314
2015-01-01,USD,1.0
2015-01-01,CAD,1.2234
2015-01-01,AUD,1.2883
2015-01-01,EUR,0.8814
2015-01-01,GBP,0.6319
2015-01-01,USD,1.0
2015-01-01,CAD,1.2339
2015-01-01,AUD,1.2976
2015-01-01,EUR,0.8925
2015-01-01,GBP,0.6338
2015-01-01,USD,1.0
2015-01-01,CAD,1.2301
2015-01-01,AUD,1.2907
2015-01-01,EUR,0.8918
2015-01-01,GBP,0.6348
2015-01-01,USD,1.0
2015-01-01,CAD,1.2384
2015-01-01,AUD,1.2919
2015-01-01,EUR,0.8924
2015-01-01,GBP,0.6359
2015-01-01,USD,1.0
2015-01-01,CAD,1.2365
2015-01-01,AUD,1.3061
2015-01-01,EUR,0.8927
2015-01-01,GBP,0.6359
2015-01-01,USD,1.0
2015-01-01,CAD,1.2365
2015-01-01,AUD,1.3061
2015-01-01,EUR,0.8927
2015-01-01,GBP,0.6359
2015-01-01,USD,1.0
2015-01-01,CAD,1.2365
2015-01-01,AUD,1.3061
2015-01-01,EUR,0.8927
2015-01-01,GBP,0.6359
2015-01-01,USD,1.0
2015-01-01,CAD,1.2374
2015-01-01,AUD,1.3048
2015-01-01,EUR,0.8982
